Consortium,Researcher,Job Type,Avg Energy Consumed (kWh),Tasks Rerun,Subtasks Delegated,Baseline Energy (kWh),Optimized Energy (kWh),Runtime Increase (%),CO2 Saved (kg),Trees to Offset Baseline,Trees to Offset Optimized
African Bioinformatics Consortium,Dr. Adebayo,GWAS,350,2,3,364.00,331.24,15,16.38,7,7
African Bioinformatics Consortium,Dr. Chikwe,GWAS,350,1,0,357.00,357.00,0,0.00,7,7
Nile Bioinformatics Network,Dr. Njeri,PRS,280,1,2,285.60,268.46,10,8.57,6,5
Sahara Genomics Alliance,Dr. Kone,Alignment,420,0,1,420.00,407.40,5,6.30,8,8
Sahara Genomics Alliance,Dr. Zola,Alignment,420,2,0,436.80,436.80,0,0.00,9,9
Equator Computational Bio,Dr. Osman,Variant Calling,310,3,2,328.60,308.88,10,9.86,7,6
Equator Computational Bio,Dr. Sefu,Variant Calling,310,0,3,310.00,282.10,15,13.95,6,6
West African Genome Initiative,Dr. Mensah,Phylogenetics,260,2,1,270.40,262.29,5,4.06,5,5
West African Genome Initiative,Dr. Kofi,Phylogenetics,260,1,2,265.20,249.29,10,7.96,5,5
African Bioinformatics Consortium,Dr. Suleiman,Metagenomics,500,4,4,540.00,475.20,20,32.40,11,10
African Bioinformatics Consortium,Dr. Iqbal,Metagenomics,500,2,2,520.00,488.80,10,15.60,10,10
Nile Bioinformatics Network,Dr. Amara,RNA‑seq,300,1,1,306.00,296.82,5,4.59,6,6
Nile Bioinformatics Network,Dr. Banda,RNA‑seq,300,0,0,300.00,300.00,0,0.00,6,6
Sahara Genomics Alliance,Dr. Hassan,Proteomics,450,2,3,468.00,425.88,15,21.06,9,9
Sahara Genomics Alliance,Dr. Kone,Proteomics,450,1,1,459.00,445.23,5,6.89,9,9
Equator Computational Bio,Dr. Imani,Epigenomics,330,2,2,343.20,322.85,10,10.18,7,6
Equator Computational Bio,Dr. Osman,Epigenomics,330,1,0,336.60,336.60,0,0.00,7,7
West African Genome Initiative,Dr. Adewale,Functional Annotation,290,0,1,290.00,281.30,5,4.35,6,6
West African Genome Initiative,Dr. Okafor,Functional Annotation,290,3,2,307.40,288.96,10,9.22,6,6
African Bioinformatics Consortium,Dr. Chikwe,Functional Annotation,290,1,3,295.80,269.18,15,13.31,6,5
